Hotel_Name,Hotel_Rating,Room_type,Room_price,Room_sqft,Facilities,Location
Sofitel Mumbai BKC,8.2,"Club Millesime King Room with Breakfast, Evening Hi-Tea and Cocktail Hours, Meeting Room for 1h","$1,054",376 feet²,"['City view', 'Pet friendly', 'Swimming pool', 'Free WiFi', 'Free parking', 'Bathtub', 'Air conditioning', '24-hour front desk', 'Daily housekeeping', 'Non-smoking rooms']","C-57, Bandra Kurla Complex, Bandra, 400051 Mumbai, India"
Sea Green South Hotel,7.2,Deluxe Double or Twin Room with Balcony,$303,280 feet²,[],"145 Marine Drive, Churchgate, 400020 Mumbai, India"
"Adiva Residency Beacon, Grant Road, Mumbai",7.7,Deluxe Room,$278,250 feet²,"['Air conditioning', 'Private Bathroom', 'View', 'Free WiFi', 'Shower', 'Minibar', 'Flat-screen TV', 'Airport shuttle', 'Family rooms', 'Non-smoking rooms']","M S Ali Road, Opposite Super Cinema Grant Road, Mumbai, 400007 Mumbai, India"
Chateau Windsor Hotel - Marine Drive,7.7,Superior Triple Room,$267,450 feet²,"['Free parking', 'Balcony', 'Air conditioning', 'Free WiFi', 'Shower', 'Minibar', 'Flat-screen TV', 'Room service', 'Non-smoking rooms', 'City view']","86 Veer Nariman Road, Churchgate, Churchgate, 400020 Mumbai, India"
OSI Service Apartments Jogeshwari West,6.7,Two-Bedroom Apartment,$163,650 feet²,"['Parking', 'Air conditioning', 'Private Bathroom', 'View', 'Free WiFi', 'Shower', 'Washing machine', 'Flat-screen TV', 'Family rooms', 'Apartments']","904 Range Heights Behraum Baug Jogeshwari West, 400102 Mumbai, India"
Hotel Balwas,6.3,Deluxe Double Room,$124,,"['Balcony', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Room service', 'Facilities for disabled guests', '24-hour front desk', 'Daily housekeeping']","323, Opposite Super Cinema, 12th Lane, Grant Road, 400007 Mumbai, India"
"InterContinental Marine Drive Mumbai, an IHG Hotel",8.5,1 King Bed Premium Sea View Smoking,"$1,000",550 feet²,"['Swimming pool', 'Free WiFi', 'Free parking', 'Bathtub', 'Air conditioning', '24-hour front desk', 'Key card access', 'Daily housekeeping', 'Non-smoking rooms', 'Safe']","135 Marine Drive, Churchgate, 400020 Mumbai, India"
Hotel Linkway,7.5,Standard Double or Twin Room,$147,165 feet²,"['Street parking', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Room service', 'Non-smoking rooms', 'Cable channels', 'City view']","519, Vithalbhai Patel Road, Linking Road, Bandra West, Khar, 400052 Mumbai, India"
Ramada Plaza By Wyndham Palm Grove,7.0,Deluxe Double Room,$805,300 feet²,"['Free parking', 'Swimming pool', 'Restaurant', 'Spa', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'BBQ facilities', 'Fitness center']","Juhu Tara Road, Juhu Beach, Juhu, 400049 Mumbai, India"
Radisson Mumbai Andheri MIDC,8.2,Deluxe Room with One way Free Airport Drop,$858,323 feet²,"['Free parking', 'Swimming pool', 'Restaurant', 'Spa', 'Air conditioning', 'Private Bathroom', 'View', 'Free WiFi', 'Shower', 'Fitness center']","X-22, MIDC Central Road, Andheri East, 400093 Mumbai, India"
